player,age,dob,height_cm,club,rating
P. Heerwagen,36,13/04/1983,193,SV Sandhausen,63
Y. Gutiérrez,38,15/03/1981,188,Club Necaxa,63
D. Zibung,35,10/01/1984,187,FC Luzern,63
I. Austbø,34,22/02/1985,190,Viking FK,63
G. Rogers,37,25/09/1981,188,Dundalk,63
T. Kortegaard,34,02/07/1984,178,AC Horsens,63
M. Hamoud,34,01/02/1985,177,Strømsgodset IF,63
L. Buș,31,27/08/1987,174,Academica Clinceni,63
P. Quasten,34,13/03/1985,179,RKC Waalwijk,63
B. Clarke,33,17/09/1985,185,St. Patrick's Athletic,63
F. Melara,33,06/05/1986,188,Castellammare di Stabia,63
C. Logan,33,18/04/1986,188,Mansfield Town,63
L. Fontaine,33,07/01/1986,188,Ross County FC,63
S. Anderson,33,19/12/1985,180,St. Johnstone FC,63
J. Tosik,32,21/05/1987,182,Zagłębie Lubin,63
M. Andersen,33,28/05/1986,179,Tromsø IL,63
D. Charles,31,10/12/1987,185,Wycombe Wanderers,63
A. Sheehan,32,14/09/1986,180,Luton Town,63
R. Sutton,33,29/04/1986,183,Morecambe,63
S. Miller,31,25/09/1987,173,Morecambe,63
D. Jones,32,23/12/1986,188,Cambridge United,63
I. Djuric,30,30/08/1988,181,Neuchâtel Xamax,63
K. Letheren,31,26/12/1987,188,Salford City,63
N. Maya,34,01/02/1985,173,Atlético de San Luis,63
S. Foley,32,17/10/1986,183,St. Mirren,63
K. Lejeune,34,22/01/1985,181,AC Ajaccio,63
M. Spelmann,32,21/03/1987,175,Strømsgodset IF,63
A. Randrup,30,16/07/1988,179,Helsingborgs IF,63
S. Sinclair,31,19/11/1987,170,Walsall,63
T. Diagouraga,32,09/06/1987,188,Swindon Town,63
J. Wilson,30,26/02/1989,188,Ipswich Town,63
L. Alessandra,30,08/02/1989,175,Morecambe,63
G. Moss,36,19/01/1983,187,Newcastle Jets,63
G. Iliev,37,05/09/1981,178,Bulgaria,63
M. Bottani,28,24/05/1991,170,FC Lugano,63
M. Palionis,32,12/05/1987,194, SSV Jahn Regensburg,63
Y. Opazo,34,24/12/1984,174,Curicó Unido,63
R. Taylor,31,04/05/1988,188,Plymouth Argyle,63
J. Wright,29,06/11/1989,175,Leyton Orient,63
M. Jones,31,15/08/1987,183,Carlisle United,63
T. Cywka,31,27/06/1988,180,Lech Poznań,63
L. John-Lewis,30,17/05/1989,178,Shrewsbury,63
G. Sawyer,33,05/07/1985,183,Plymouth Argyle,63
R. Finn,31,21/12/1987,185,Shamrock Rovers,63
L. Reddy,37,08/08/1981,189,Perth Glory,63
J. O'Shea,30,10/08/1988,183,Brisbane Roar,63
D. Djulbic,36,16/02/1983,194,Perth Glory,63
Zhou Haibin,33,19/07/1985,183,Shandong Luneng TaiShan FC,63
Rong Hao,32,07/04/1987,177,Tianjin TEDA FC,63
V. Lia,34,18/03/1985,177,Adelaide United,63
R. O'Donnell,30,12/09/1988,188,Bradford City,63
Chen Lei,33,16/10/1985,182,Chongqing Dangdai Lifan FC SWM Team,63
J. Brockie,31,07/10/1987,183,New Zealand,63
M. Štěch,29,28/01/1990,191,Luton Town,63
P. Amond,31,15/04/1988,178,Newport County,63
N. Delfouneso,28,02/02/1991,186,Blackpool,63
S. McGinn,30,02/11/1988,180,St. Mirren,63
C. Hidalgo,33,25/04/1986,184,Deportivo Pasto,63
T. Beltran,31,11/10/1987,173,Real Salt Lake,63
E. Benavidez,30,05/03/1989,179,Patriotas Boyacá FC,63
D. Ragatzu,27,21/09/1991,172,Cagliari,63
M. Gomes,30,19/09/1988,180,Neuchâtel Xamax,63
G. Cummins,31,29/12/1987,178,Shamrock Rovers,63
C. Patterson-Sewell,32,20/05/1987,191,Toronto FC,63
E. Doyle,31,12/03/1988,181,Swindon Town,63
S. Conneely,30,09/07/1988,175,Accrington Stanley,63
R. Östlind,29,14/03/1990,176,Falkenbergs FF,63
I. Vigurs,31,07/05/1988,173,Ross County FC,63
S. Matuszek,30,07/01/1989,185,Górnik Zabrze,63
M. Gardawski,28,25/09/1990,177,Korona Kielce,63
A. Sauthier,28,05/02/1991,185,Servette FC,63
S. O'Keefe,28,04/03/1991,173,Gillingham,63
L. O'Neill,27,20/08/1991,184,AFC Wimbledon,63
D. Massey,31,17/04/1988,183,Dundalk,63
F. Affolter,28,13/03/1991,185,San Jose Earthquakes,63
A. Falatah,35,20/10/1983,176,Abha Club,63
Gao Di,29,06/01/1990,178,Shanghai Greenland Shenhua FC,63
W. Abdullah,33,19/04/1986,190,Al Nassr,63
Zhang Chi,31,08/07/1987,186,Shandong Luneng TaiShan FC,63
J. Payne,28,25/11/1990,183,Crawley Town,63
A. Wede,29,20/04/1990,174,Falkenbergs FF,63
L. Legge,34,01/07/1985,193,Port Vale,63
G. Ingrosso,30,28/01/1989,187,Pisa,63
J. Hanson,31,09/11/1987,193,Grimsby Town,63
M. Karlsen,29,03/02/1990,195,Ranheim Fotball,63
Kim Keun Hoan,32,12/08/1986,193,Incheon United FC,63
C. Bone,30,16/09/1988,175,FC Cincinnati,63
G. Francomb,27,08/09/1991,181,Crawley Town,63
J. Taylor,27,01/12/1991,177,Exeter City,63
K. Dawson,29,30/06/1990,176,Forest Green Rovers,63
H. Radetinac,33,28/10/1985,187,Djurgårdens IF,63
A. Höller,30,15/03/1989,192,SV Mattersburg,63
R. Padovani,29,15/10/1989,187,FC Chambly Oise,63
F. Burmeister,29,09/03/1990,186,Eintracht Braunschweig,63
T. Christiansen,29,11/08/1989,171,Mjøndalen IF,63
J. Lindberg,30,24/03/1989,177,IK Sirius,63
K. Mellor,28,25/01/1991,187,Bradford City,63
Lee Jae Myung,27,25/07/1991,182,Gyeongnam FC,63
O. Tounkara,29,25/05/1990,189,Astra Giurgiu,63
G. Gigliotti,29,09/11/1989,180,Crotone,63
P. Bryła,29,04/03/1990,178,LKS Lodz,63
N. Jakimovski,29,26/02/1990,187,Trapani,63
Kim Dong Woo,31,05/02/1988,189,Jeju United FC,63
Li Jianbin,30,19/04/1989,185,Dalian YiFang FC,63
Park Gi Dong,30,01/11/1988,191,Daegu FC,63
D. Bowles,27,19/10/1991,189,Brisbane Roar,63
C. McCormack,29,18/05/1990,176,Cork City,63
B. Stokke,28,20/08/1990,191,Randers FC,63
Kim Jun Yub,31,10/05/1988,178,Daegu FC,63
Cho Ji Hun,29,29/05/1990,191,Gangwon FC,63
A. Morgan,28,09/02/1991,180,Toronto FC,63
C. Bickel,28,27/01/1991,178,FSV Zwickau,63
D. Schütz,28,19/06/1991,169,SKN St. Pölten,63
F. Brügmann,28,23/01/1991,173,MSV Duisburg,63
Kim Hyo Gi,32,03/07/1986,180,Gyeongnam FC,63
R. Gaffney,29,23/10/1989,184,Salford City,63
M. Broberg,28,24/09/1990,186,Örebro SK,63
P. Diouf,30,22/06/1989,180,Kalmar FF,63
J. Blomberg,32,14/06/1987,178,GIF Sundsvall,63
Chen Zhizhao,31,14/03/1988,170,Guangzhou R&F FC,63
Kim Kyung Jung,28,16/04/1991,178,Sangju Sangmu FC,63
C. Dobnik,32,10/07/1986,181,Wolfsberger AC,63
H. Sulaimani,42,21/01/1977,173,Al Ahli,63
K. Al Zealaiy,32,16/03/1987,176,Abha Club,63
S. Al Qumayzi,27,30/10/1991,180,Ettifaq FC,63
A. Al Kassar,28,08/05/1991,177,Al Faisaly,63
D. Rose,31,21/02/1988,170,Swindon Town,63
Didac,28,30/12/1990,173,Politehnica Iaşi,63
M. Scholz,31,17/05/1988,196,SV Waldhof Mannheim,63
M. Bouziane,28,05/02/1991,184,SV Waldhof Mannheim,63
G. Gope-Fenepej,30,23/10/1988,182,Le Mans FC,63
M. Abusabaan,29,20/01/1990,180,Damac FC,63
Han Kook Young,29,19/04/1990,183,Gangwon FC,63
N. Al Subhi,29,12/03/1990,180,Al Fayha,63
M. Rigione,28,07/03/1991,185,Chievo Verona,63
S. Amro,29,15/11/1989,178,Al Wehda,63
G. Cvijanović,32,09/09/1986,179,Arka Gdynia,63
M. Al Thmali,27,10/02/1992,180,Al Faisaly,63
E. Hurtado,28,15/11/1990,178,Sporting Kansas City,63
C. Amaya,28,12/10/1990,177,Deportivo Pasto,63
J. Escobar,31,10/09/1987,190,Jaguares de Córdoba,63
M. Velásquez,31,23/06/1988,181,CD Everton de Viña del Mar,63
I. Quílez,29,16/11/1989,171,Central Córdoba,63
K. Mensah,28,15/05/1991,173,Brøndby IF,63
O. Lund,28,21/08/1990,188,Odense Boldklub,63
K. Pallesen,29,30/04/1990,175,Aalborg BK,63
L. Pérez,29,27/09/1989,187,Cosenza,63
S. Molina,27,01/01/1992,177,Crotone,63
L. Nizzetto,33,08/03/1986,176,Virtus Entella,63
M. Hamzi,27,17/01/1992,172,Al Hazem,63
D. Björnquist,30,08/01/1989,178,Örebro SK,63
S. Mensiro,30,19/03/1989,175,Östersunds FK,63
L. Mulholland,30,07/08/1988,173,Real Salt Lake,63
Zhou Yun,28,31/12/1990,183,Jiangsu Suning FC,63
Yang Xiaotian,29,26/03/1990,178,Jiangsu Suning FC,63
Zhu Baojie,29,11/08/1989,170,Beijing Renhe FC,63
Jin Taiyan,29,21/08/1989,174,Beijing Sinobo Guoan FC,63
W. Torres,35,23/05/1984,178,Coquimbo Unido,63
E. Marxen,28,02/12/1990,185,Randers FC,63
S. Dooley,27,19/10/1991,180,Rochdale,63
Li Yunqiu,28,03/10/1990,174,Shanghai Greenland Shenhua FC,63
Tang Jiashu,28,22/09/1990,184,Chongqing Dangdai Lifan FC SWM Team,63
Wang Jie,30,14/01/1989,185,Tianjin Quanjian FC,63
Costa Ferreira,28,12/05/1991,179,Lecce,63
A. Kanno,29,27/01/1990,181,Al Fayha,63
A. Awaji,29,02/08/1989,169,Al Ahli,63
U. Korun,32,25/05/1987,188,Piast Gliwice,63
Carlos Travisso,35,29/02/1984,180,Goiás,63
Luis Paezinho,35,29/02/1984,182,Santos,63
Fabiem Jardim,35,29/02/1984,182,Fortaleza,63
Josi Mouraldo,27,29/02/1992,182,Atlético Paranaense,63
Maicon Sampinho,27,29/02/1992,181,Chapecoense,63
A. Al Zain,27,02/07/1991,182,Al Raed,63
K. Al Barakah,28,04/12/1990,179,Al Ahli,63
Chi Wenyi,31,18/02/1988,183,Hebei China Fortune FC,63
K. Seki,33,09/03/1986,178,Vegalta Sendai,63
K. Oiwa,29,17/08/1989,183,Vegalta Sendai,63
S. Tomita,33,20/06/1986,169,Vegalta Sendai,63
D. Niwa,33,16/01/1986,181,FC Tokyo,63
T. Marutani,30,30/05/1989,179,Oita Trinita,63
M. Fujita,33,08/05/1986,176,Sagan Tosu,63
S. Morishita,33,11/05/1986,178,Júbilo Iwata,63
Y. Iwakami,29,28/07/1989,170,Matsumoto Yamaga,63
T. Kanai,29,05/02/1990,175,Sagan Tosu,63
K. Yoshimoto,31,24/04/1988,185,Shimizu S-Pulse,63
Li Hang,29,19/09/1989,182,Wuhan Zall,63
Sander Asevedo,35,29/02/1984,187,Fortaleza,63
L. Fosgaard,32,06/09/1986,181,Lyngby BK,63
B. Alston,27,23/03/1992,183,Hamilton Academical FC,63
B. Al Mutairi,29,14/03/1990,168,Al Fayha,63
A. Granlund,29,01/09/1989,179,Örebro SK,63
Felipe Soldivia,31,29/02/1988,173,Ceará Sporting Club,63
L. Cardoza,34,19/12/1984,188,Atlético Huila,63
T. Shimakawa,29,28/05/1990,180,Oita Trinita,63
M. Musaka,28,16/01/1991,176,Shimizu S-Pulse,63
G. Matei,29,26/02/1990,177,Academica Clinceni,63
B. Bye,29,09/03/1990,186,Kristiansund BK,63
R. Minor,31,03/01/1988,198,Hobro IK,63
D. Newton,28,18/03/1991,178,Stevenage,63
M. Gebers,33,05/06/1986,189,SV Meppen,63
M. Nardi,32,09/07/1986,182,Parma,63
T. Broadbent,27,15/02/1992,190,Swindon Town,63
R. Cardozo,30,16/08/1988,188,Jaguares de Córdoba,63
Tian Yinong,28,18/02/1991,181,Jiangsu Suning FC,63
D. Grubb,27,24/07/1991,183,Forest Green Rovers,63
E. Valla Dønnem,28,21/07/1990,183,Ranheim Fotball,63
R. Frantsen,27,15/10/1991,184,AC Horsens,63
S. Abraham,28,07/02/1991,178,IFK Göteborg,63
L. Alzugaray,29,17/04/1990,170,Central Córdoba,63
C. Sierra,28,25/10/1990,177,América de Cali,63
Y. Hashiuchi,31,13/07/1987,175,Matsumoto Yamaga,63
K. Mitsuhira,31,13/01/1988,175,Oita Trinita,63
M. Miyasaka,29,15/07/1989,169,Matsumoto Yamaga,63
N. Urata,29,13/09/1989,178,Matsumoto Yamaga,63
M. Leca,27,14/04/1992,191,Chindia Târgovişte,63
M. Mihalache,34,14/12/1984,182,Politehnica Iaşi,63
B. Santelli,27,16/11/1991,180,FC Chambly Oise,63
Pirulo,27,17/04/1992,176,LKS Lodz,63
R. Patriche,33,29/04/1986,181,Academica Clinceni,63
L. Katnik,29,31/07/1989,185,WSG Tirol,63
P. Koronkiewicz,28,13/03/1991,185,Viktoria Köln,63
P. Bhatt,34,07/04/1985,182,India,63
B. Raj,31,25/03/1988,175,India,63
K. Hoever,17,18/01/2002,183,Liverpool,62
B. Gilmour,18,11/06/2001,170,Chelsea,62
R. Quirynen,17,03/11/2001,182,Royal Antwerp FC,62
A. Zagre,17,04/10/2001,168,Paris Saint-Germain,62
A. Amaya,18,25/04/2001,170,Atlético Huila,62
Obama,19,04/02/2000,170,RC Celta,62
M. Roffo,19,04/04/2000,183,Boca Juniors,62
R. Griffiths,19,27/06/2000,180,Olympique Lyonnais,62
L. Connell,18,20/04/2001,177,Celtic,62
A. Lottin,17,29/08/2001,181,FC Girondins de Bordeaux,62
Marc Aguado,19,22/02/2000,178,Real Zaragoza,62
F. Nmecha,18,10/10/2000,186,Manchester City,62
Altube,19,22/02/2000,188,Real Madrid,62
C. Olses,18,21/09/2000,192,Racing Club,62
M. Tshibuabua,17,08/01/2002,186,AS Saint-Étienne,62
A. Rouault,18,29/05/2001,187,Toulouse Football Club,62
J. Lindsey,19,27/03/2000,173,Sporting Kansas City,62
F. Hornby,19,13/09/1999,188,Everton,62
K. Moreno,18,23/07/2000,187,Deportivo Cali,62
J. David,19,08/03/2000,190,Hamburger SV,62
J. Zirkzee,18,22/05/2001,193,Bayern München II,62
D. Churlinov,18,11/07/2000,180,1. FC Köln,62
J. Pourtau,19,23/01/2000,193,Estudiantes de La Plata,62
A. McDonald,18,17/03/2001,175,Heart of Midlothian,62
F. Vera,19,26/03/2000,180,Argentinos Juniors,62
M. Longstaff,19,21/03/2000,180,Newcastle United,62
A. Ndiaye,19,02/01/2000,186,FC Metz,62
J. López,19,08/01/2000,182,Racing Club,62
B. Fofana,20,07/09/1998,182,Olympique Lyonnais,62
K. Thuram,18,26/03/2001,192,OGC Nice,62
W. Isidor,18,27/08/2000,180,AS Monaco,62
M. Kapo,18,19/01/2001,183,Paris Saint-Germain,62
T. Vlček,18,28/02/2001,183,SK Slavia Praha,62
M. Taferner,18,30/01/2001,170,SG Dynamo Dresden,62
B. Benkhedim,18,20/04/2001,172,AS Saint-Étienne,62
N. Shinton,18,10/05/2001,193,Club Brugge KV,62
M. Aké,18,05/01/2001,177,Olympique de Marseille,62
Nico Ribaudo,18,11/04/2001,170,RCD Espanyol,62
C. Slattery,20,08/02/1999,190,Southampton,62
J. Kade,20,20/05/1999,181,1. FC Union Berlin,62
S. Sessegnon,19,18/05/2000,175,Fulham,62
T. Børkeeiet,20,18/04/1999,186,Brøndby IF,62
L. Ranieri,20,23/04/1999,185,Fiorentina,62
A. Barlow,19,10/01/2000,176,Tromsø IL,62
A. Adouyev,20,11/05/1999,181,Montpellier HSC,62
L. Barreiro Martins,19,03/01/2000,174,1. FSV Mainz 05,62
M. Bogusz,17,22/08/2001,175,Leeds United,62
J. Chotard,17,24/09/2001,179,Montpellier HSC,62
L. Bolton,19,07/10/1999,174,Luton Town,62
J. Mlakar,20,23/10/1998,183,Queens Park Rangers,62
A. Pululu,20,23/03/1999,175,FC Basel 1893,62
D. Emmanouilidis,18,24/10/2000,175,Panathinaikos FC,62
L. Millar,19,27/09/1999,178,Kilmarnock,62
J. Mbom,19,24/02/2000,183,KFC Uerdingen 05,62
J. Kübler,20,25/05/1999,175,FC Carl Zeiss Jena,62
P. Pfeiffer,19,20/08/1999,196,SV Darmstadt 98,62
D. Philipp,19,10/04/2000,180,SV Werder Bremen,62
A. Opoku,20,28/03/1999,185,FC Hansa Rostock,62
D. Horkaš,20,10/03/1999,189,Dinamo Zagreb,62
F. Becker,19,08/06/2000,177,FC St. Pauli,62
B. Anderson,20,23/09/1998,177,Aberdeen,62
M. Bidstrup,18,25/02/2001,165,RB Leipzig,62
O. Fernandez,20,08/02/1999,175,New York Red Bulls,62
S. Haji,19,01/12/1999,173,San Jose Earthquakes,62
F. Amaya,18,26/09/2000,165,FC Cincinnati,62
V. Bondar,20,27/02/1999,172,Shakhtar Donetsk,62
A. Șerban,18,31/10/2000,174,Chindia Târgovişte,62
I. Jakobs,19,17/08/1999,184,1. FC Köln,62
D. Salazar,20,19/04/1999,180,CD O'Higgins,62
D. Keillor-Dunn,21,02/11/1997,180,Ross County FC,62
T. Kehinde,21,18/06/1998,178,Randers FC,62
J. Strand Larsen,19,06/02/2000,193,Sarpsborg 08 FF,62
T. Müsel,19,25/07/1999,185,Borussia Mönchengladbach,62
J. Villalba,20,11/09/1998,174,Borussia Mönchengladbach,62
M. Gabbia,19,21/10/1999,185,Milan,62
A. Toufiqui,20,25/04/1999,175,Paris Saint-Germain,62
T. Al Ammar,19,23/09/1999,170,Al Shabab,62
D. Otto,20,03/03/1999,185,1. FC Heidenheim 1846,62
H. Marcelin,19,12/02/2000,197,AJ Auxerre,62
N. Ofoborh,19,07/11/1999,175,Bournemouth,62
A. Buongiorno,20,06/06/1999,191,Torino,62
A. Racioppi,20,31/12/1998,186,Olympique Lyonnais,62
Pol Lozano,19,06/10/1999,176,RCD Espanyol,62
M. Trovato,21,27/01/1998,182,Cosenza,62
E. Destanoglu,18,01/01/2001,195,Beşiktaş JK,62
M. Ross,18,15/01/2001,190,Aalborg BK,62
R. Tugarev,20,22/07/1998,170,Lokomotiv Moscow,62
I. Chouaref,18,12/12/2000,175,La Berrichonne de Châteauroux,62
A. Keita,19,06/04/2000,189,Columbus Crew SC,62
A. Schäfer,20,13/04/1999,179,Genoa,62
O. Horșia,18,30/10/2000,172,Politehnica Iaşi,62
T. Coulibaly,18,18/02/2001,175,VfB Stuttgart,62
H. Mbock,19,28/12/1999,186,Stade Brestois 29,62
Fer Niño,18,24/10/2000,190,Villarreal CF,62
K. Lleshi,19,09/10/1999,189,CF Fuenlabrada,62
B. Ashley-Seal,20,21/11/1998,187,Wolverhampton Wanderers,62
M. Doucouré,21,21/05/1998,183,Borussia Mönchengladbach,62
D. Smarsch,20,14/01/1999,195,Hertha BSC,62
F. Mayer,21,04/03/1998,191,Borussia Mönchengladbach,62
M. Zemzemi,19,07/08/1999,183,RC Strasbourg Alsace,62
G. Simeone,20,23/07/1998,181,Gimnasia y Esgrima La Plata,62
J. De Busser,19,21/10/1999,190,KAA Gent,62
J. Vásquez,20,22/10/1998,182,Monterrey,62
Baselga,20,15/02/1999,178,Real Zaragoza,62
R. Uldrikis,21,03/04/1998,198,FC Sion,62
A. Çelebi,20,04/04/1999,195,Kayserispor,62
Vinicius,20,08/05/1999,188,Bologna,62
Dani Sandoval,21,16/02/1998,178,Levante UD,62
O. Valakari,19,18/08/1999,187,Tromsø IL,62
Jorge Mier,20,04/02/1999,175,Real Oviedo,62
C. Mamengi,18,03/04/2001,178,FC Utrecht,62
Meseguer,19,07/09/1999,175,Rayo Vallecano,62
H. Abdelli,19,17/11/1999,187,Le Havre AC,62
D. Ciobotariu,21,10/06/1998,184,Dinamo Bucureşti,62
T. Ostrak,19,05/02/2000,176,TSV Hartberg,62
L. Carnot,18,25/02/2001,181,En Avant de Guingamp,62
A. Mățan,19,29/08/1999,165,FC Viitorul,62
M. Gjira,20,05/05/1999,170,Dinamo Zagreb,62
V. Ozornwafor,20,01/06/1999,194,Galatasaray SK,62
O. Diakité,18,25/07/2000,189,SCR Altach,62
M. Sitti,19,14/02/2000,182,FC Sochaux-Montbéliard,62
A. Frizzell,21,21/02/1998,175,Kilmarnock,62
K. Kairinen,20,22/12/1998,186,HJK Helsinki,62
P. Kalambayi,19,09/07/1999,183,AFC Wimbledon,62
B. Lubala,21,08/01/1998,177,Crawley Town,62
M. Sørensen,20,07/01/1999,185,Brentford,62
A. Carleton,19,22/06/2000,170,Atlanta United,62
S. Sidler,20,07/07/1998,185,FC Luzern,62
C. Zesiger,21,24/06/1998,194,BSC Young Boys,62
P. López,21,07/01/1998,167,Pachuca,62
T. Doornbusch,19,06/07/1999,188,SC Heerenveen,62
V. Gyökeres,21,04/06/1998,187,FC St. Pauli,62
N. Al Dawsari,20,19/12/1998,178,Al Hilal,62
K. Thorstvedt,20,13/03/1999,189,Viking FK,62
N. Tiknizyan,20,12/05/1999,180,PFC CSKA Moscow,62
Y. Tolosa,20,12/06/1999,170,Deportivo Cali,62
M. Boudjemaa,21,07/04/1998,181,En Avant de Guingamp,62
M. Phaeton,19,08/01/2000,185,En Avant de Guingamp,62
F. Valietti,20,25/01/1999,185,Virtus Entella,62
C. Zady Sery,19,20/12/1999,177,AC Ajaccio,62
J. Sobociński,20,20/03/1999,186,LKS Lodz,62
R. Zalazar,19,12/08/1999,178,Korona Kielce,62
Bertín,21,02/04/1998,173,Real Sporting de Gijón,62
H. Lewis,21,20/12/1997,186,Southampton,62
S. Ruiz,21,01/12/1997,185,Envigado FC,62
J. Mosquera,22,02/10/1996,175,Envigado FC,62
T. Clarke,21,26/03/1998,165,Rotherham United,62
V. Cabezas,21,02/11/1997,186,Deportivo Pasto,62
S. Seddon,21,25/12/1997,179,Birmingham City,62
R. Ziegele,22,13/03/1997,186,Eintracht Braunschweig,62
B. Lozano,22,20/03/1997,167,U.N.A.M.,62
L. James-Wildin,21,03/12/1997,178,Stevenage,62
M. Woud,20,16/01/1999,196,Willem II,62
L. Matarese,21,16/04/1998,177,Frosinone,62
I. De Santis,22,21/05/1997,184,Virtus Entella,62
R. Hernández,21,04/10/1997,171,Stabæk Fotball,62
D. Mandroiu,20,20/10/1998,178,Bohemian FC,62
A. Canbaz,21,27/04/1998,182,Trabzonspor,62
Callejón,21,15/05/1998,182,UD Almería,62
S. Farhan,22,25/09/1996,180,Al Raed,62
J. Méndez,21,24/08/1997,175,Club Atlético Talleres,62
Borja Llarena,20,17/05/1999,171,CD Tenerife,62
Y. Sugawara,19,28/06/2000,179,AZ Alkmaar,62
W. Alarcón,18,29/11/2000,181,Colo-Colo,62
D. Kopacz,20,29/05/1999,180,Górnik Zabrze,62
Alberto Espeso,21,10/03/1998,173,Real Sporting de Gijón,62
M. López,19,20/11/1999,175,San Jose Earthquakes,62
D. Hernández,19,13/08/1999,177,Atlético de San Luis,62
T. Ortíz,19,10/03/2000,174,Defensa y Justicia,62
Iván Martín,20,14/02/1999,178,Villarreal CF,62
J. Benson,19,05/12/1999,175,Burnley,62
A. Rațiu,21,20/06/1998,183,Villarreal CF,62
A. Mohamed,20,11/04/1999,178,Olympique de Marseille,62
M. Toscano,21,07/07/1997,170,Virtus Entella,62
J. Sinclair,22,20/09/1996,181,VVV-Venlo,62
C. Humphreys-Grant,20,22/08/1998,185,SV Zulte-Waregem,62
M. Egbo,21,17/08/1997,180,SV Darmstadt 98,62
F. Sierralta,22,06/05/1997,190,Udinese,62
G. Edmundson,21,15/08/1997,190,Rangers FC,62
B. Haunstrup,22,26/10/1996,172,Portsmouth,62
Hugo Rama,22,22/11/1996,177,CD Lugo,62
T. Buhagiar,21,27/02/1998,178,Sydney FC,62
M. Al Mufarrij,22,19/08/1996,181,Al Hilal,62
D. Leahy,21,15/04/1998,185,Bohemian FC,62
L. Germoni,21,01/09/1997,175,Castellammare di Stabia,62
M. Mangraviti,21,24/01/1998,188,Brescia,62
N. Barona,21,11/07/1997,175,La Equidad,62
M. Madsen,21,14/01/1998,186,Silkeborg IF,62
Giovanni,20,25/08/1998,166,CD Tenerife,62
F. Baak,20,18/03/1999,191,Hertha BSC,62
L. Bengtsson,21,17/02/1998,179,Hammarby IF,62
A. Dobre,20,30/08/1998,178,Bournemouth,62
M. Olosunde,21,07/03/1998,186,Rotherham United,62
S. Ambri,21,12/08/1997,178,Valenciennes FC,62
R. Schlegel,22,03/04/1997,185,Racing Club,62
J. Wehrmann,20,25/03/1999,176,Feyenoord,62
D. Camacho,22,12/06/1997,178,La Equidad,62
G. Collao,21,09/09/1997,191,Universidad de Chile,62
J. Osabutey,20,10/10/1998,181,Royal Excel Mouscron,62
J. Vollert,21,21/01/1998,186,Hallescher FC,62
A. Khammas,20,06/04/1999,176,KRC Genk,62
E. Abouchabaka,19,31/03/2000,183,SpVgg Greuther Fürth,62
S. Ahmed-Kadi,22,18/04/1997,177,US Salernitana 1919,62
N. Zanellato,21,24/06/1998,187,Crotone,62
B. Williams,20,31/03/1999,178,Barnsley,62
O. Kwabena,22,18/06/1997,182,CD Leganés,62
N. Díaz,20,20/05/1999,178,CD Palestino,62
N. Carnat,21,08/04/1998,181,Sepsi OSK,62
L. Dietz,22,07/01/1997,190,Viktoria Köln,62
San Román,21,14/07/1997,189,Elche CF,62
F. Hörberg,20,19/05/1999,180,Östersunds FK,62
J. Bursztyn,21,25/03/1998,186,Pogoń Szczecin,62
T. Isherwood,21,28/01/1998,195,Östersunds FK,62
M. Gonçalves,18,08/06/2001,178,Toulouse Football Club,62
K. Çelik,19,06/01/2000,179,Kayserispor,62
F. Pérez,20,04/11/1998,179,Club Atlético Aldosivi,62
J. Koffi,21,05/01/1998,175,New York Red Bulls,62
Pablo,21,29/09/1997,180,CD Lugo,62
M. Donato,20,15/01/1999,180,Club Atlético Lanús,62
J. Carls,22,25/03/1997,179,FC Schalke 04,62
A. Szőke,21,01/07/1998,185,Heracles Almelo,62
A. Sagna,20,10/06/1999,172,Club Brugge KV,62
Ballarin,21,17/01/1998,170,SD Huesca,62
Diogo Almeida,18,08/09/2000,184,FC Paços de Ferreira,62
V. Myhra,22,21/07/1996,194,Strømsgodset IF,62
J. Rossiter,22,24/03/1997,178,Fleetwood Town,62
A. Phillips,21,15/01/1998,180,Burnley,62
J. Talbot,22,24/04/1997,183,Bohemian FC,62
S. Polat,22,14/04/1997,179,Atiker Konyaspor,62
R. Renteria,23,19/02/1996,181,Deportivo Cali,62
E. List,22,12/05/1997,174,Gillingham,62
A. Lajami,23,24/04/1996,178,Al Fateh,62
A. Zendejas,23,30/08/1995,196,Sporting Kansas City,62
E. Wekesser,21,03/07/1997,184, SSV Jahn Regensburg,62
C. Ogbene,22,01/05/1997,175,Brentford,62
E. Riis,21,24/06/1998,190,Randers FC,62
Jaime Pinto,21,28/09/1997,183,Rio Ave FC,62
J. Shipley,21,26/09/1997,183,Coventry City,62
L. Sernicola,22,30/03/1997,187,Virtus Entella,62
K. Riis,22,17/02/1997,187,FC Midtjylland,62
T. Krapikas,20,03/01/1999,195,Spezia,62
Javi Benítez,22,16/12/1996,185,Real Sporting de Gijón,62
André Teles,22,06/04/1997,180,Clube Sport Marítimo,62
A. Sissako,21,26/05/1998,186,La Berrichonne de Châteauroux,62
P. Klimala,20,05/08/1998,183,Jagiellonia Białystok,62
A. Tanaka,20,10/09/1998,177,Kawasaki Frontale,62
Arribas,20,28/10/1998,180,AD Alcorcón,62
M. De Luca,20,17/07/1998,192,Virtus Entella,62
C. Owens,21,07/12/1997,185,Queens Park Rangers,62
N. Arena,21,02/06/1998,183,Godoy Cruz,62
B. Álvarez,21,22/08/1997,171,Unión de Santa Fe,62
J. Díaz,20,21/08/1998,180,Tigres U.A.N.L.,62
